Word,Similarity
접종,0.9357943534851074
화이자,0.8933168649673462
코로나,0.8624559640884399
대한민국,0.8322230577468872
순서,0.817255973815918
국내,0.8135489821434021
시기,0.8037401437759399
나이,0.8020880222320557
zero,0.7968065142631531
부작용,0.7735894918441772
국민,0.7655624151229858
전,0.758417010307312
맞다,0.7570142149925232
바이러스,0.7305248975753784
세계,0.7286117076873779
시작,0.7147186398506165
이후,0.7042286992073059
예방,0.702433705329895
대상,0.6953669190406799
완료,0.6926875710487366
개발,0.6871137619018555
미만,0.6855382323265076
사람,0.6620643734931946
예약,0.6556286811828613
종식,0.6485646963119507
19,0.6357362866401672
분기,0.6335121393203735
여권,0.6315206289291382
이다,0.6293576955795288
증상,0.6256116628646851
출국,0.6240633130073547
청소년,0.6168593168258667
내년,0.6053444147109985
올해,0.6023669242858887
어떻다,0.5895102620124817
면제,0.5765653848648071
사항,0.576153039932251
종사자,0.5741113424301147
증명서,0.5736371874809265
확진,0.5720484256744385
방법,0.5685237646102905
중국,0.566163957118988
나오다,0.5612348318099976
후,0.554678738117218
나라,0.5546196103096008
해외,0.5539252758026123
모르다,0.5452293753623962
우리나라,0.5442267060279846
그러다,0.5238416194915771
요,0.5212863683700562
기관,0.5206707715988159
의무,0.5186110734939575
같다,0.5174242258071899
발생,0.516610860824585
확인서,0.5108957290649414
보이다,0.5069499015808105
말,0.4990600347518921
진행,0.4972766041755676
포함,0.4919547736644745
과정,0.489401638507843
음성,0.489022433757782
오다,0.4860302209854126
지금,0.48424509167671204
이번,0.48395034670829773
현재,0.48182499408721924
이상,0.4803347587585449
자가,0.4777272045612335
안전,0.4683801233768463
대하다,0.4650527834892273
격리,0.46420010924339294
그렇다,0.4640207588672638
n,0.46314093470573425
쓰다,0.45732203125953674
발표,0.45462167263031006
문제,0.4537389278411865
국,0.45226699113845825
입,0.45050185918807983
겁,0.44980567693710327
PCR,0.44767457246780396
정도,0.4435863494873047
국가,0.44185662269592285
미국,0.4387027323246002
발급,0.4372990131378174
따르다,0.4347483813762665
끝나다,0.4304003119468689
가다,0.4301948845386505
니다,0.43006831407546997
정리,0.4282570481300354
입국,0.4271848201751709
생각,0.42151710391044617
검사,0.4209529459476471
마스크,0.41777274012565613
출발,0.4171608090400696
관련,0.4148818850517273
안내,0.41461190581321716
통하다,0.41455116868019104
제출,0.4065941572189331
한국,0.40615591406822205
결과,0.40384986996650696
시설,0.4035952091217041
크다,0.4000634551048279
안,0.3994550108909607
해당,0.3991434574127197
보다,0.3947075605392456
많다,0.3933297395706177
경우,0.39287227392196655
실시,0.3894076347351074
들다,0.3850359618663788
높다,0.3836963176727295
필요,0.38046994805336
일어,0.38043147325515747
상황,0.3800392150878906
좋다,0.374539315700531
확인,0.37354615330696106
위하다,0.37123429775238037
관리,0.37052249908447266
알다,0.36977195739746094
어렵다,0.3686883747577667
방역,0.36862048506736755
빠르다,0.36263036727905273
방문,0.35726600885391235
to,0.3490939736366272
참고,0.3481350839138031
도착,0.34320390224456787
때,0.34214547276496887
단계,0.3411295413970947
the,0.33704525232315063
가족,0.336849182844162
일,0.33388805389404297
받다,0.3304188847541809
아래,0.3222191333770752
상태,0.321597695350647
조치,0.32115811109542847
여행,0.32050037384033203
시간,0.31471002101898193
시험,0.3103715777397156
기준,0.30945056676864624
신청,0.3031888008117676
바라다,0.29951608180999756
두기,0.2984195947647095
제한,0.2961322069168091
다르다,0.294273316860199
도움,0.2915406823158264
내용,0.29136013984680176
센터,0.28883907198905945
https,0.2864278554916382
영어,0.2858101725578308
목적,0.28489309549331665
이,0.28257256746292114
외국인,0.28209373354911804
쉽다,0.2788565158843994
영국,0.2784433364868164
거리,0.27839046716690063
사회,0.2748912572860718
곳,0.27244696021080017
일본,0.2637321352958679
부탁,0.26350322365760803
서류,0.26196080446243286
입학,0.25946319103240967
관광,0.2561517357826233
준비,0.25451844930648804
지역,0.24611064791679382
무료,0.24521127343177795
지원금,0.24424712359905243
드리다,0.2395324409008026
채택,0.23763979971408844
http,0.23638559877872467
정부,0.2300732135772705
대학,0.22543539106845856
학생,0.2182094007730484
캐나다,0.21361327171325684
문의,0.2043333649635315
기간,0.19793961942195892
답변,0.19789358973503113
유학,0.18520855903625488
체류,0.18337643146514893
지원,0.1830769032239914
비용,0.17282626032829285
대학교,0.17020772397518158
공항,0.16656163334846497
질문자,0.15830594301223755
정보,0.15650953352451324
상담,0.15440993010997772
추가,0.14968961477279663
질문,0.14831656217575073
비자,0.14376765489578247
금지,0.1411595642566681
학교,0.13669097423553467
호텔,0.11815003305673599
호주,0.07402689754962921
취업,0.07059305906295776
만원,0.0330183245241642
